sud/sud_vo_adv_card_mna_01_01-mna001|はぁ、はぁ、ま、間に合った～っ……！おはよ、はぁはぁ、はぁ、はぁ、
sud/sud_vo_adv_group_mna_01_10-mna014|ふふっ、楽しみがまた一つ増えたよ
sud/sud_vo_adv_group_mna_01_10-mna015|去年、学園祭で歌った時より、ずっと多いよ
sud/sud_vo_adv_group_mna_01_10-mna016|これからも沢山のステージで歌うと思うけど……ここで歌うのは、これが最後かもね
sud/sud_vo_adv_group_mna_01_10-mna017|行ってくる……背中背中！
sud/sud_vo_adv_group_mna_01_10-mna018|みんな、もっと元気に！　せーの！
sud/sud_vo_adv_group_mna_01_10-mna019|次の曲、いきまーす！
sud/sud_vo_adv_group_mna_01_10-mna020|あー、やっと補習終わったよ～
sud/sud_vo_adv_group_mna_01_10-mna021|でも、もうこれで、ここに来ることもないねこれが本当の卒業式だね
sud/sud_vo_adv_group_mna_01_10-mna022|仰げばー尊しー、わが師のー恩～
sud/sud_vo_adv_group_mna_01_10-mna023|何？
sud/sud_vo_adv_group_mna_01_10-mna024|全然寂しくないよ。だって君とは今までもこれからもずっと一緒でしょ？
sud/sud_vo_adv_group_mna_01_10-mna025|君は寂しいの？
sud/sud_vo_adv_group_mna_01_10-mna026|ふふっ、それはお互い様だよ
sud/sud_vo_adv_group_mna_01_10-mna027|うん！
sud/sud_vo_adv_group_mna_01_11-mna001|やったーっ！　みんな応援ありがとう！
sud/sud_vo_adv_group_mna_01_11-mna002|あはは、ただ歌が好きなだけですよ
sud/sud_vo_adv_group_mna_01_11-mna003|これまで通りステージで歌います！ファンのみなさんのために歌うだけです！
sud/sud_vo_adv_group_mna_01_11-mna004|ありがとう……っと
sud/sud_vo_adv_group_mna_01_11-mna005|大丈夫だよ。ちょっと力が抜けちゃっただけライブが終わって緊張が緩んだから
sud/sud_vo_adv_group_mna_01_11-mna006|何深刻な顔してるの？もしかして疲れた？
sud/sud_vo_adv_group_mna_01_11-mna007|何それ。エッチな意味？
sud/sud_vo_adv_group_mna_01_11-mna008|何がそんなに凄いの？
sud/sud_vo_adv_group_mna_01_11-mna009|……デレデレしちゃって女の子なら誰でもいいんだ
sud/sud_vo_adv_group_mna_01_11-mna010|ふん、どうだか！
sud/sud_vo_adv_group_mna_01_11-mna011|いいです。私、彼がいなくても勝手に仕事取ってきて勝手に歌うから
sud/sud_vo_adv_group_mna_01_11-mna012|絶対イヤ。星見まつりの時だってみんな止めたけど大成功したじゃない
sud/sud_vo_adv_group_mna_01_11-mna013|そんなの間違ってる。ファンのみんなが待ってるなら長瀬麻奈は歌わない訳にはいかないよ
sud/sud_vo_adv_group_mna_01_11-mna014|…………レッスン行ってくる
sud/sud_vo_adv_group_mna_01_11-mna015|遙子ちゃんのマネージャーはついてこなくていいですから
sud/sud_vo_adv_group_mna_01_11-mna016|全然、連絡くれない！君、酷いんじゃない！？
sud/sud_vo_adv_group_mna_01_11-mna017|明日の現場は東京じゃなくて横浜だよ！間違って遅れないでよね！
sud/sud_vo_adv_group_mna_01_11-mna018|なんで嬉しそうなのよ……あのね。
sud/sud_vo_adv_group_mna_01_11-mna019|……やっぱりなんでもないおやすみなさい！
sud/sud_vo_adv_group_mna_01_11-mna020|……助けて。ね。助けて
sud/sud_vo_adv_group_mna_01_12-mna001|あっここだよ！
sud/sud_vo_adv_group_mna_01_12-mna002|実は、電車で居眠りしちゃって……気が付いたら東京まで行っちゃったの
sud/sud_vo_adv_group_mna_01_12-mna003|お説教は後！タクシー代、足りなくなっちゃったの！　助けて
sud/sud_vo_adv_group_mna_01_12-mna004|はぁはぁ、ごめんなさいお待たせしました！
sud/sud_vo_adv_group_mna_01_12-mna005|えっと……今日は迷惑かけてごめんなさい
sud/sud_vo_adv_group_mna_01_12-mna006|あっ、うん、これからは絶対にこんなミスしないよ
sud/sud_vo_adv_group_mna_01_12-mna007|え？　そんなことないよ君もマネージャーに復帰したし
sud/sud_vo_adv_group_mna_01_12-mna008|それは……
sud/sud_vo_adv_group_mna_01_12-mna009|私は歌ってない方が、体の調子が悪くなるの！理屈じゃないの！
sud/sud_vo_adv_group_mna_01_12-mna010|絶対に迷惑かけないようにするから、お願い……私から歌を奪わないで
sud/sud_vo_adv_group_mna_01_12-mna011|そんな顔しないでごめんね、わがまま言って……
sud/sud_vo_adv_group_mna_01_12-mna012|え？　平気だよ？今のリハだってばっちりだったでしょ？
sud/sud_vo_adv_group_mna_01_12-mna013|……ホントはちょっとだけ良くないかも？
sud/sud_vo_adv_group_mna_01_12-mna014|そんな顔しないで。大丈夫！私はステージに立てば元気になるから
sud/sud_vo_adv_group_mna_01_12-mna015|はーい！行ってくるね！
sud/sud_vo_adv_group_mna_01_12-mna016|みなさん、こんばんはーっ！今日も元気一杯に歌っちゃうよ！
sud/sud_vo_adv_group_mna_01_12-mna017|ただいまー、今日はどうだった？
sud/sud_vo_adv_group_mna_01_12-mna018|あはは、だから言ったでしょ？私はステージに上がれば元気になるって
sud/sud_vo_adv_group_mna_01_12-mna019|……あっ、あれ？　急に目眩が……君がぼやけて見えて
sud/sud_vo_adv_group_mna_01_13-mna001|断った！？　なんでそんないい話を断ったの？
sud/sud_vo_adv_group_mna_01_13-mna002|どうして、そんなことするの？私に相談もなしに！
sud/sud_vo_adv_group_mna_01_13-mna003|何、それ…………それでも、マネージャーなの！？
sud/sud_vo_adv_group_mna_01_13-mna004|こんなの明日には退院できるってお医者さんも言ってたよ！　ギリギリ間に合うでしょ？
sud/sud_vo_adv_group_mna_01_13-mna005|レイーズは大きな会場だし、あそこならもっと沢山のファンに私の歌を届け――
sud/sud_vo_adv_group_mna_01_13-mna006|えっ……{user}……くん……？
sud/sud_vo_adv_group_mna_01_13-mna007|……
sud/sud_vo_adv_group_mna_01_13-mna008|……ごめん
sud/sud_vo_adv_group_mna_01_13-mna009|私、気付かないうちに君にいろいろ背負わせてたんだね
sud/sud_vo_adv_group_mna_01_13-mna010|でもね、聞いてほしいの私、少し前、女の子からファンレターもらったんだ
sud/sud_vo_adv_group_mna_01_13-mna011|その子ね、重い病気で私のライブに来られないんだって
sud/sud_vo_adv_group_mna_01_13-mna012|だから、テレビやブルーレイを観ながら一人で私を応援してるんだって
sud/sud_vo_adv_group_mna_01_13-mna013|でも、手紙の最後にこう書いてあったの
sud/sud_vo_adv_group_mna_01_13-mna014|いつか、きっとライブに行くからって……死んじゃう前に、這ってでも行くからって
sud/sud_vo_adv_group_mna_01_13-mna015|この子だけじゃないたった一度しか来てもらえない人達が、大勢いる
sud/sud_vo_adv_group_mna_01_13-mna016|私はね、そんな人達に私の歌を届ける機会を少しでも増やしたい
sud/sud_vo_adv_group_mna_01_13-mna017|君の言うことは分かるスタッフさん達に迷惑かけたくないのは私も同じ
sud/sud_vo_adv_group_mna_01_13-mna018|でも……アイドル・長瀬麻奈は、誰かを笑顔にするため希望を与えるために存在しているの
sud/sud_vo_adv_group_mna_01_13-mna019|ライブはいつだって一期一会だからもう二度と聴いてもらえない人もいるから
sud/sud_vo_adv_group_mna_01_13-mna020|だから、止められたって、会場がなくたってどんな場所でだって私は歌うつもり
sud/sud_vo_adv_group_mna_01_13-mna021|……それがアイドル・長瀬麻奈なんだよ
sud/sud_vo_adv_group_mna_01_13-mna022|……じゃあ
sud/sud_vo_adv_group_mna_01_13-mna023|うん、分かった……ありがとう
sud/sud_vo_adv_group_mna_01_13-mna024|第十四回 NEXT VENUSグランプリ
sud/sud_vo_adv_group_mna_01_13-mna025|……私は出たいです
sud/sud_vo_adv_group_mna_01_13-mna026|ただいま、琴乃今日はね、報告があるの
sud/sud_vo_adv_group_mna_01_13-mna027|私、NEXT決勝のステージに立てれば、日本中に歌を届けられる
sud/sud_vo_adv_group_mna_01_13-mna028|今はこんな風に扉越しでしか話せない私達だけど……もし私が決勝に進んだら、聴いてほしいの
sud/sud_vo_adv_group_mna_01_13-mna029|琴乃にも、私の歌を――
sud/sud_vo_adv_group_mna_01_13-mna030|……一応、チケットの準備はするから
sud/sud_vo_adv_group_mna_01_14-mna001|ありがとうー！
sud/sud_vo_adv_group_mna_01_14-mna002|ひゃあっ！？君、なんでここに！？
sud/sud_vo_adv_group_mna_01_14-mna003|あ、あはは、そういえばそうだったねおはよう！　朝早いね
sud/sud_vo_adv_group_mna_01_14-mna004|あ、うんこれは、その……歌詞……的な……？
sud/sud_vo_adv_group_mna_01_14-mna005|うん、私、琴乃に――妹に決勝のステージを観てもらうから
sud/sud_vo_adv_group_mna_01_14-mna006|出来れば、私の想いをあの子に伝えたくて今まで思ったこと、感じたことをまとめてたんだ
sud/sud_vo_adv_group_mna_01_14-mna007|だから、日記を読み返しながら、書いてたの
sud/sud_vo_adv_group_mna_01_14-mna008|見せないよ！　絶対見せないよ！これは乙女のトップシークレットなんだから！
sud/sud_vo_adv_group_mna_01_14-mna009|そこは敏腕マネージャーのパワーでお願いします……ダメかな？
sud/sud_vo_adv_group_mna_01_14-mna010|やった！マネージャー、愛してる！
sud/sud_vo_adv_group_mna_01_14-mna011|君からの初めてのプレゼントだからね！　レアだよレア
sud/sud_vo_adv_group_mna_01_14-mna012|だって「初めての挫折を味わわせてあげる。おほほ！」なんて失礼なこと言うんだもん。頭に来ちゃって、つい
sud/sud_vo_adv_group_mna_01_14-mna013|ね、私、決勝のステージであの歌を歌う。琴乃もきっと観に来てくれる
sud/sud_vo_adv_group_mna_01_14-mna014|だから、みっともなく負ける訳にはいかないよ
sud/sud_vo_adv_group_mna_01_14-mna015|え？　どうしたの？急に褒め出して
sud/sud_vo_adv_group_mna_01_14-mna016|……私一人じゃ出来なかったよ
sud/sud_vo_adv_group_mna_01_14-mna017|デビューの時も、星見まつりの時もいつも君が、そばにいてくれた
sud/sud_vo_adv_group_mna_01_14-mna018|暴走しそうになる私を叱ったり、慰めたりしながら一生懸命守ってくれた
sud/sud_vo_adv_group_mna_01_14-mna019|アイドル長瀬麻奈は、一人だけど、一人じゃないんだ
sud/sud_vo_adv_group_mna_01_14-mna020|一人じゃないから、歌えるんだよ、私ねぇ、これからも、私のそばにいてくれる？
sud/sud_vo_adv_group_mna_01_14-mna021|…………ね？
sud/sud_vo_adv_group_mna_01_14-mna022|お願いがあるの
sud/sud_vo_adv_group_mna_01_14-mna023|みんな、こんばんはーっ！
sud/sud_vo_adv_group_mna_01_14-mna024|一人じゃないから、歌えるんだよ、私ねぇ、これからも、私のそばにいてくれる？
sud/sud_vo_adv_group_mna_01_15-mna001|ね
sud/sud_vo_adv_group_mna_01_15-mna002|こら。聞こえない？
sud/sud_vo_adv_group_mna_01_15-mna003|何、びっくりしてるの？
sud/sud_vo_adv_group_mna_01_15-mna004|……久しぶりね
sud/sud_vo_adv_group_mna_01_15-mna005|うん……ごめんね。あの日、会場に行けなくて
sud/sud_vo_adv_group_mna_01_15-mna006|あとこれ、夢じゃないから私、今、幽霊やってるんだ
sud/sud_vo_adv_group_mna_01_15-mna007|うーらーめーしーやー♪
sud/sud_vo_adv_group_mna_01_15-mna008|あっ、やっと笑ったねそうだよ元気出して、笑ってよ
sud/sud_vo_adv_group_mna_01_15-mna009|君がめそめそしてたら私、安心して成仏出来ないよ？
sud/sud_vo_adv_group_mna_01_15-mna010|そこは、うん、私もそう思うけど……そういうめぐり合わせなんだよ。しかたない
sud/sud_vo_adv_group_mna_01_15-mna011|だけど、どうしてもいくつか心残りがあってもうちょっとこっちに残ることにしたんだ
sud/sud_vo_adv_group_mna_01_15-mna012|うん。それはね――
